Städte,pH-Wert ,Härtebereich,Ammonium ,Calcium,Eisen,Kalium,Magnesium,Mangan,Natrium,Wasserhärte,Chlorid,Phosphat
Aachen,"8,10","1,50","0,04","45,00","0,020","2,00","8,00","0,010","12,50","8,45","25,00", 
Ahaus,"8,00","1,00","0,05","39,00","0,010","4,45","6,35","0,005","37,50","6,90","34,00", 
Ahlen,"7,88","1,00","0,05","42,00","0,010","2,30","5,50","0,002","19,00","7,10","28,00","0,14"
Aldenhoven,"7,78","2,00","0,02","69,40","0,010","1,70","12,60","0,005","6,20","12,60","6,90","1,78"
Alsdorf,"7,78","2,00","0,02","69,40","0,010","1,70","12,60","0,005","6,20","12,60","6,90","1,78"
Altenberge,"7,61","2,00","0,05","75,00","0,010","5,00","4,70","0,002","18,00","11,80","28,00","0,51"
Arnsberg,"7,87","1,00","0,03","46,25","0,115","1,67","7,63","0,005","13,23","7,10","19,83","0,14"
Ascheberg,"7,88","1,00","0,05","42,00","0,010","2,30","5,50","0,002","19,00","7,10","28,00","0,14"
Bad Driburg, ,"2,38", , , , , , , ,"14,40", , 
Bad Wünnenberg,"7,56","2,50","0,05","74,50","0,010","1,06","7,45","0,005","13,88","12,10","25,00", 
Bergisch Gladbach,"7,61","2,00","0,05","58,00","0,020","2,20","12,00","0,001","20,00","10,80","28,00", 
Bergkamen,"7,88","1,00","0,05","42,00","0,010","2,30","5,50","0,002","19,00","7,10","28,00","0,14"
Bielefeld,"7,56","2,33","0,04","86,00","0,023","1,67","3,00","0,008","14,13","13,17","23,50", 
Billerbeck,"7,61","2,00","0,05","75,00","0,010","5,00","4,70","0,002","18,00","11,80","28,00","0,51"
Bochum,"7,98","1,00","0,00","41,00","0,000","3,85","6,75","0,000","31,00","7,30","40,00","0,20"
Bonn,"8,25","1,00","0,01","32,75","0,005","2,90","6,80","0,003","14,55","1,10","27,00","0,01"
Borken,"8,12","1,00","0,02","23,00","0,005","1,60","2,30","0,005","33,40","3,70","15,00","1,30"
Bottrop,"7,59","2,00","0,02","62,20","0,005","3,05","6,15","0,005","28,50","10,20","42,50","1,05"
Brakel,"7,18","3,00","0,05","120,67","0,019","1,22","19,52","0,005","5,24","21,37","13,83","0,02"
Brilon,"7,76","2,00", ,"65,58","0,016","1,00","6,64","0,005","14,20","10,68","25,19", 
Brühl,"7,17","3,00","0,05","104,60","0,020","4,30","14,20","0,001","32,50","17,80","55,50","0,05"
Bönen,"7,86","1,00","0,05","47,00","0,010","3,00","5,90","0,002","27,00","8,00","35,00","0,21"
Castrop-Rauxel,"7,61","2,00","0,05","75,00","0,010","5,00","4,70","0,002","18,00","11,80","28,00","0,51"
